team,year,player_name,dob,batting_style,bowling_style,first_class_team
Afghanistan,2015,Aftab Alam,6 April 1992,Right-handed,Right-arm fast,
Afghanistan,2015,Asghar Stanikzai (vc),22 September 1987,Right-handed,Right-arm medium,
Afghanistan,2015,Dawlat Zadran,20 September 1988,Right-handed,Right-arm fast-medium,
Afghanistan,2015,Gulbadin Naib,16 September 1991,Right-handed,Right-arm medium,
Afghanistan,2015,Hamid Hassan,1 January 1987,Right-handed,Right-arm fast,
Afghanistan,2015,Javed Ahmadi,5 January 1992,Right-handed,Right-arm off break,
Afghanistan,2015,Mirwais Ashraf,15 March 1988,Right-handed,Right-arm medium-fast,
Afghanistan,2015,Mohammad Nabi (c),3 January 1985,Right-handed,Right-arm off break,
Afghanistan,2015,Najibullah Zadran,27 February 1993,Left-handed,Right-arm off spin,
Afghanistan,2015,Nawroz Mangal,15 February 1984,Right-handed,Right-arm off break,
Afghanistan,2015,Samiullah Shenwari,7 March 1987,Right-handed,Right-arm leg break,
Afghanistan,2015,Shabir Noori,15 March 1985,Right-handed,,
Afghanistan,2015,Shapoor Zadran,8 January 1987,Left-handed,Left-arm fast,
Afghanistan,2015,Usman Ghani,22 November 1996,Left-handed,,
Australia,2015,Aaron Finch,17 November 1986,Right-handed,Right-arm medium,Victoria
Australia,2015,Brad Haddin,23 October 1977,Right-handed,Wicket-keeper,New South Wales
Australia,2015,David Warner,27 October 1986,Left-handed,Right-arm leg break,New South Wales
Australia,2015,George Bailey,7 September 1982,Right-handed,Right-arm medium,Tasmania
Australia,2015,Glenn Maxwell,14 October 1988,Right-handed,Right-arm off break,Victoria
Australia,2015,James Faulkner,29 April 1990,Left-handed,Left-arm fast-medium,Tasmania
Australia,2015,Josh Hazlewood,8 January 1991,Right-handed,Right-arm fast-medium,New South Wales
Australia,2015,Michael Clarke (c),2 April 1981,Right-handed,Slow left-arm orthodox,New South Wales
Australia,2015,Mitchell Johnson,2 November 1981,Left-handed,Left-arm fast,Queensland
Australia,2015,Mitchell Marsh,20 October 1991,Right-handed,Right-arm fast-medium,Western Australia
Australia,2015,Mitchell Starc,30 January 1990,Left-handed,Left-arm fast,New South Wales
Australia,2015,Pat Cummins,8 May 1993,Right-handed,Right-arm fast,New South Wales
Australia,2015,Shane Watson,17 June 1981,Right-handed,Right-arm fast-medium,Queensland
Australia,2015,Steven Smith,2 June 1989,Right-handed,Right-arm leg break,New South Wales
Australia,2015,Xavier Doherty,22 October 1982,Left-handed,Slow left-arm orthodox,Tasmania
Bangladesh,2015,Al-Amin Hossain,3 November 1990,Right-handed,Right-arm fast-medium,Rajshahi
Bangladesh,2015,Arafat Sunny,12 January 1985,Left-handed,Slow left-arm orthodox,Dhaka
Bangladesh,2015,Imrul Kayes,2 February 1987,Left-handed,Right-arm off break,Khulna
Bangladesh,2015,Mahmudullah,4 February 1986,Right-handed,Right-arm off break,Dhaka
Bangladesh,2015,Mashrafe Mortaza (c),5 October 1983,Right-handed,Right-arm fast-medium,Khulna
Bangladesh,2015,Mominul Haque,4 August 1992,Left-handed,Right-arm off break,Chittagong
Bangladesh,2015,Mushfiqur Rahim,9 May 1988,Right-handed,Wicket-keeper,Rajshahi
Bangladesh,2015,Nasir Hossain,6 July 1991,Right-handed,Right-arm off break,Dhaka
Bangladesh,2015,Rubel Hossain,1 January 1990,Right-handed,Right-arm fast,Chittagong
Bangladesh,2015,Sabbir Rahman,22 November 1991,Right-handed,Right-arm off break,Rajshahi
Bangladesh,2015,Shakib Al Hasan,24 March 1987,Left-handed,Slow left-arm orthodox,Khulna
Bangladesh,2015,Soumya Sarkar,25 January 1993,Left-handed,Right-arm medium,Khulna
Bangladesh,2015,Taijul Islam,8 August 1992,Left-handed,Slow left-arm orthodox,Dhaka
Bangladesh,2015,Tamim Iqbal,20 March 1989,Left-handed,Right-arm off spin,Chittagong
Bangladesh,2015,Taskin Ahmed,8 April 1995,Right-handed,Right-arm fast-medium,Dhaka
England,2015,Alex Hales,3 January 1989,Right-handed,Right-arm medium,Nottinghamshire
England,2015,Chris Jordan,4 October 1988,Right-handed,Right-arm fast-medium,Sussex
England,2015,Chris Woakes,2 March 1989,Right-handed,Right-arm fast-medium,Warwickshire
England,2015,Eoin Morgan (c),10 September 1986,Left-handed,Right-arm medium,Middlesex
England,2015,Gary Ballance,22 November 1989,Left-handed,Right-arm leg break,Yorkshire
England,2015,Ian Bell,11 April 1982,Right-handed,Right-arm medium,Warwickshire
England,2015,James Anderson,30 July 1982,Left-handed,Right-arm fast-medium,Lancashire
England,2015,James Taylor,6 January 1990,Right-handed,,Nottinghamshire
England,2015,James Tredwell,27 February 1982,Right-handed,Right-arm off break,Kent
England,2015,Joe Root,30 December 1990,Right-handed,Right-arm off break,Yorkshire
England,2015,Jos Buttler,8 September 1990,Right-handed,Wicket-keeper,Lancashire
England,2015,Moeen Ali,18 June 1987,Left-handed,Right-arm off break,Worcestershire
England,2015,Ravi Bopara,4 May 1985,Right-handed,Right-arm medium,Essex
England,2015,Steven Finn,4 April 1989,Right-handed,Right-arm fast,Middlesex
England,2015,Stuart Broad,24 June 1986,Left-handed,Right-arm fast-medium,Nottinghamshire
India,2015,Ajinkya Rahane,6 June 1988,Right-handed,Medium seam,Mumbai
India,2015,Ambati Rayudu,23 September 1985,Right-handed,Right-arm off break,Hyderabad
India,2015,Axar Patel,20 January 1994,Left-handed,Slow left-arm orthodox,Gujarat
India,2015,Bhuvneshwar Kumar,5 February 1990,Right-handed,Right-arm medium,Uttar Pradesh
India,2015,MS Dhoni (c),7 July 1981,Right-handed,Wicket-keeper,Jharkhand
India,2015,Mohammed Shami,3 September 1990,Right-handed,Right-arm fast-medium,Bengal
India,2015,Mohit Sharma,18 January 1988,Right-handed,Right-arm medium-fast,Haryana
India,2015,Ravichandran Ashwin,17 September 1986,Right-handed,Right-arm off break,Tamil Nadu
India,2015,Ravindra Jadeja,6 December 1988,Left-handed,Slow left-arm orthodox,Saurashtra
India,2015,Rohit Sharma,30 April 1987,Right-handed,Right-arm off break,Mumbai
India,2015,Shikhar Dhawan,5 December 1985,Left-handed,Right-arm off spin,Delhi
India,2015,Stuart Binny,3 June 1984,Right-handed,Right-arm medium,Karnataka
India,2015,Suresh Raina,27 November 1986,Left-handed,Right-arm off break,Uttar Pradesh
India,2015,Umesh Yadav,25 May 1987,Right-handed,Right-arm fast,Vidarbha
India,2015,Virat Kohli,5 November 1988,Right-handed,Right-arm medium,Delhi
Ireland,2015,Alex Cusack,29 September 1980,Right-handed,Right-arm medium,
Ireland,2015,Andrew Balbirnie,28 December 1990,Right-handed,,
Ireland,2015,Andrew McBrine,30 April 1993,Right-handed,Right-arm off break,
Ireland,2015,Craig Young,4 December 1991,Right-handed,Right-arm fast-medium,
Ireland,2015,Ed Joyce,22 September 1978,Left-handed,Right-arm medium,Sussex
Ireland,2015,Gary Wilson,5 February 1986,Right-handed,Wicket-keeper,
Ireland,2015,George Dockrell,22 July 1992,Left-handed,Slow left-arm orthodox,
Ireland,2015,John Mooney,10 February 1982,Left-handed,Right-arm medium,
Ireland,2015,Kevin O'Brien,4 March 1984,Right-handed,Right-arm medium-fast,
Ireland,2015,Niall O'Brien,8 November 1981,Right-handed,Wicket-keeper,
Ireland,2015,Paul Stirling,3 September 1990,Right-handed,Right-arm off break,Middlesex
Ireland,2015,Peter Chase,25 November 1993,Right-handed,Right-arm fast-medium,
Ireland,2015,Stuart Thompson,15 March 1991,Left-handed,Right-arm medium,
Ireland,2015,Tim Murtagh,2 August 1981,Right-handed,Right-arm fast-medium,Middlesex
Ireland,2015,William Porterfield (c),6 September 1984,Left-handed,Off spin,Warwickshire
New Zealand,2015,Adam Milne,30 April 1992,Right-handed,Right-arm fast,Central Districts
New Zealand,2015,Brendon McCullum (c),27 September 1981,Right-handed,Wicket-keeper,Otago
New Zealand,2015,Corey Anderson,13 March 1990,Left-handed,Left-arm medium,Canterbury
New Zealand,2015,Daniel Vettori,27 January 1979,Left-handed,Slow left-arm orthodox,Northern Districts
New Zealand,2015,Grant Elliott,21 March 1979,Right-handed,Right-arm medium,Wellington
New Zealand,2015,Kane Williamson,8 August 1990,Right-handed,Right-arm off break,Northern Districts
New Zealand,2015,Kyle Mills,15 March 1979,Right-handed,Right-arm fast-medium,Auckland
New Zealand,2015,Luke Ronchi,23 September 1981,Right-handed,Wicket-keeper,Wellington
New Zealand,2015,Martin Guptill,30 September 1986,Right-handed,Right-arm medium,Auckland
New Zealand,2015,Matt Henry,14 December 1991,Right-handed,Right-arm fast-medium,Canterbury
New Zealand,2015,Mitchell McClenaghan,11 August 1986,Left-handed,Left-arm fast-medium,Auckland
New Zealand,2015,Nathan McCullum,12 September 1980,Right-handed,Right-arm off break,Otago
New Zealand,2015,Ross Taylor,8 March 1984,Right-handed,Right-arm off break,Central Districts
New Zealand,2015,Tom Latham,2 April 1992,Left-handed,Wicket-keeper,Canterbury
New Zealand,2015,Trent Boult,22 July 1989,Right-handed,Left-arm fast-medium,Northern Districts
Pakistan,2015,Ahmed Shehzad,23 October 1991,Right-handed,Right-arm off break,Lahore
Pakistan,2015,Ehsan Adil,6 April 1993,Right-handed,Right-arm fast-medium,Lahore
Pakistan,2015,Haris Sohail,9 April 1989,Left-handed,Slow left-arm orthodox,Sialkot
Pakistan,2015,Misbah-ul-Haq (c),28 May 1974,Right-handed,Right-arm leg break,Sui Northern Gas
Pakistan,2015,Mohammad Irfan,6 June 1982,Left-handed,Left-arm fast-medium,Khan Research Labs
Pakistan,2015,Nasir Jamshed,6 September 1990,Left-handed,,Sialkot
Pakistan,2015,Rahat Ali,25 December 1988,Right-handed,Left-arm fast-medium,Multan
Pakistan,2015,Sarfaraz Ahmed,22 May 1987,Right-handed,Wicket-keeper,Karachi
Pakistan,2015,Shahid Afridi,1 March 1980,Right-handed,Right-arm leg break,Karachi
Pakistan,2015,Sohaib Maqsood,8 November 1988,Right-handed,Right-arm off break,Multan
Pakistan,2015,Sohail Khan,11 December 1984,Right-handed,Right-arm fast-medium,Karachi
Pakistan,2015,Umar Akmal,26 May 1990,Right-handed,Wicket-keeper,Lahore
Pakistan,2015,Wahab Riaz,28 June 1985,Left-handed,Left-arm fast,Lahore
Pakistan,2015,Yasir Shah,2 May 1986,Right-handed,Right-arm leg break,Islamabad
Pakistan,2015,Younis Khan,29 November 1977,Right-handed,Right-arm leg break,Peshawar
Scotland,2015,Alasdair Evans,8 January 1990,Right-handed,Right-arm medium,
Scotland,2015,Calum MacLeod,15 November 1988,Right-handed,Right-arm medium,
Scotland,2015,Freddie Coleman,27 November 1990,Right-handed,Wicket-keeper,
Scotland,2015,Hamish Gardiner,12 March 1993,Right-handed,,
Scotland,2015,Iain Wardlaw,23 March 1988,Right-handed,Right-arm fast-medium,
Scotland,2015,Josh Davey,3 July 1990,Right-handed,Right-arm medium-fast,
Scotland,2015,Kyle Coetzer,14 April 1984,Right-handed,Right-arm medium,
Scotland,2015,Majid Haq,11 February 1983,Left-handed,Right-arm off break,
Scotland,2015,Matt Machan,15 February 1991,Right-handed,Right-arm off break,
Scotland,2015,Matthew Cross,15 November 1992,Right-handed,Wicket-keeper,
Scotland,2015,Michael Leask,12 July 1993,Right-handed,Right-arm medium,
Scotland,2015,Preston Mommsen (c),14 May 1988,Right-handed,Right-arm off break,
Scotland,2015,Richie Berrington,3 September 1989,Right-handed,Right-arm medium,
Scotland,2015,Rob Taylor,8 November 1983,Right-handed,Right-arm medium,
Scotland,2015,Safyaan Sharif,22 April 1991,Right-handed,Right-arm medium-fast,
South Africa,2015,AB de Villiers (c),17 February 1984,Right-handed,Wicket-keeper,Titans
South Africa,2015,Aaron Phangiso,3 February 1988,Left-handed,Slow left-arm orthodox,Lions
South Africa,2015,Dale Steyn,27 June 1983,Right-handed,Right-arm fast,Titans
South Africa,2015,David Miller,10 June 1989,Left-handed,Right-arm off spin,Dolphins
South Africa,2015,Faf du Plessis,13 July 1984,Right-handed,Right-arm leg break,Titans
South Africa,2015,Farhaan Behardien,9 June 1983,Right-handed,Right-arm medium,Titans
South Africa,2015,Hashim Amla,31 March 1983,Right-handed,Right-arm leg break,Dolphins
South Africa,2015,Imran Tahir,27 March 1979,Right-handed,Right-arm leg break,Titans
South Africa,2015,JP Duminy,14 April 1984,Left-handed,Right-arm off break,Cape Cobras
South Africa,2015,Kyle Abbott,18 June 1987,Right-handed,Right-arm fast-medium,Dolphins
South Africa,2015,Morne Morkel,6 October 1984,Right-handed,Right-arm fast,Titans
South Africa,2015,Quinton de Kock,17 December 1992,Left-handed,Wicket-keeper,Titans
South Africa,2015,Rilee Rossouw,9 August 1989,Left-handed,,Knights
South Africa,2015,Vernon Philander,24 June 1985,Right-handed,Right-arm fast-medium,Cape Cobras
South Africa,2015,Wayne Parnell,30 July 1989,Left-handed,Left-arm fast-medium,Warriors
Sri Lanka,2015,Angelo Mathews (c),2 June 1987,Right-handed,Right-arm fast-medium,Colombo CC
Sri Lanka,2015,Dhammika Prasad,9 May 1982,Right-handed,Right-arm fast-medium,Colts CC
Sri Lanka,2015,Dimuth Karunaratne,21 April 1988,Left-handed,Right-arm off break,Sinhalese SC
Sri Lanka,2015,Dinesh Chandimal,18 November 1989,Right-handed,Wicket-keeper,Bloomfield
Sri Lanka,2015,Jeevan Mendis,15 March 1981,Right-handed,Right-arm leg break,Colombo CC
Sri Lanka,2015,Kumar Sangakkara,27 October 1977,Left-handed,Wicket-keeper,Nondescripts
Sri Lanka,2015,Lahiru Thirimanne,8 September 1989,Left-handed,Right-arm medium,Nondescripts
Sri Lanka,2015,Lasith Malinga,4 September 1983,Right-handed,Right-arm fast,Nondescripts
Sri Lanka,2015,Mahela Jayawardene,27 May 1977,Right-handed,Right-arm medium,Sinhalese SC
Sri Lanka,2015,Nuwan Kulasekara,22 July 1982,Right-handed,Right-arm fast-medium,Colts CC
Sri Lanka,2015,Rangana Herath,19 March 1978,Left-handed,Slow left-arm orthodox,Kurunegala
Sri Lanka,2015,Sachithra Senanayake,4 March 1983,Right-handed,Right-arm off break,Colombo CC
Sri Lanka,2015,Suranga Lakmal,10 March 1987,Right-handed,Right-arm fast-medium,Tamil Union
Sri Lanka,2015,Thisara Perera,3 April 1989,Left-handed,Left-arm fast-medium,Bloomfield
Sri Lanka,2015,Tillakaratne Dilshan,14 October 1976,Right-handed,Right-arm off break,Bloomfield
United Arab Emirates,2015,Amjad Ali,15 August 1984,Left-handed,Left-arm medium,
United Arab Emirates,2015,Amjad Javed,19 January 1986,Right-handed,Right-arm medium-fast,
United Arab Emirates,2015,Andri Berenger,8 August 1985,Right-handed,Right-arm medium,
United Arab Emirates,2015,Fahad Al Hashmi,19 August 1988,Right-handed,Right-arm medium,
United Arab Emirates,2015,Kamran Shazad,10 October 1990,Right-handed,Right-arm medium,
United Arab Emirates,2015,Khurram Khan (vc),14 December 1971,Left-handed,Slow left-arm orthodox,
United Arab Emirates,2015,Krishna Chandran,12 June 1982,Right-handed,Right-arm off break,
United Arab Emirates,2015,Manjula Guruge,21 May 1975,Left-handed,Left-arm medium,
United Arab Emirates,2015,Mohammad Naveed,5 November 1985,Right-handed,Right-arm fast-medium,
United Arab Emirates,2015,Mohammad Tauqir (c),14 January 1972,Right-handed,Right-arm off break,
United Arab Emirates,2015,Nasir Aziz,3 July 1990,Right-handed,Right-arm medium,
United Arab Emirates,2015,Qadeer Ahmed,20 March 1985,Right-handed,Right-arm fast-medium,
United Arab Emirates,2015,Rohan Mustafa,19 October 1990,Right-handed,Right-arm off break,
United Arab Emirates,2015,Shaiman Anwar,4 May 1980,Right-handed,Right-arm off break,
United Arab Emirates,2015,Swapnil Patil,4 October 1985,Right-handed,Wicket-keeper,
West Indies,2015,Andre Russell,29 April 1988,Right-handed,Right-arm fast-medium,Jamaica
West Indies,2015,Chris Gayle,21 September 1979,Left-handed,Right-arm off break,Jamaica
West Indies,2015,Darren Bravo,6 February 1989,Left-handed,Right-arm medium,Trinidad and Tobago
West Indies,2015,Darren Sammy,20 December 1983,Right-handed,Right-arm fast-medium,Windward Islands
West Indies,2015,Denesh Ramdin,13 March 1985,Right-handed,Wicket-keeper,Trinidad and Tobago
West Indies,2015,Dwayne Smith,12 April 1983,Right-handed,Right-arm medium,Barbados
West Indies,2015,Jason Holder (c),5 November 1991,Right-handed,Right-arm fast-medium,Barbados
West Indies,2015,Jerome Taylor,22 June 1984,Right-handed,Right-arm fast,Jamaica
West Indies,2015,Johnson Charles,14 April 1990,Right-handed,Left-arm orthodox,Windward Islands
West Indies,2015,Jonathan Carter,13 June 1990,Right-handed,Right-arm off break,Barbados
West Indies,2015,Kemar Roach,30 June 1988,Right-handed,Right-arm fast,Barbados
West Indies,2015,Lendl Simmons,24 January 1985,Right-handed,Right-arm medium-fast,Trinidad and Tobago
West Indies,2015,Marlon Samuels,5 January 1981,Right-handed,Right-arm off break,Jamaica
West Indies,2015,Nikita Miller,8 July 1983,Right-handed,Slow left-arm orthodox,Jamaica
West Indies,2015,Sulieman Benn,22 June 1979,Left-handed,Slow left-arm orthodox,Barbados
Zimbabwe,2015,Brendan Taylor,6 February 1986,Right-handed,Wicket-keeper,Mashonaland
Zimbabwe,2015,Chris Mpofu,27 November 1985,Right-handed,Right-arm fast-medium,Matabeleland
Zimbabwe,2015,Craig Ervine,19 August 1985,Left-handed,Off spin,Manicaland
Zimbabwe,2015,Elton Chigumbura (c),14 March 1986,Right-handed,Right-arm medium-fast,Manicaland
Zimbabwe,2015,Graeme Cremer,19 July 1986,Right-handed,Right-arm leg break,Mashonaland
Zimbabwe,2015,Hamilton Masakadza,9 August 1983,Right-handed,Right-arm off break,Mashonaland
Zimbabwe,2015,Malcolm Waller,28 September 1987,Right-handed,Right-arm leg break,Mashonaland
Zimbabwe,2015,Neville Madziva,2 July 1990,Right-handed,Right-arm medium-fast,Mashonaland
Zimbabwe,2015,Regis Chakabva,8 August 1987,Right-handed,Wicket-keeper,Mashonaland
Zimbabwe,2015,Sean Williams,26 September 1986,Left-handed,Slow left-arm orthodox,Matabeleland
Zimbabwe,2015,Sikandar Raza,24 May 1986,Right-handed,Right-arm off break,Mashonaland
Zimbabwe,2015,Solomon Mire,27 February 1989,Right-handed,Right-arm medium,Mashonaland
Zimbabwe,2015,Tawanda Mupariwa,16 April 1985,Right-handed,Right-arm fast-medium,Matabeleland
Zimbabwe,2015,Tendai Chatara,6 August 1991,Right-handed,Left-arm fast-medium,Mashonaland
Zimbabwe,2015,Tinashe Panyangara,20 November 1985,Right-handed,Right-arm fast-medium,Mashonaland
Afghanistan,2019,Aftab Alam,30 November 1992,Right-handed,Right-arm medium-fast,Speen Ghar Region
Afghanistan,2019,Asghar Afghan,22 February 1987,Right-handed,Right-arm off spin,Kabul Region
Afghanistan,2019,Dawlat Zadran,19 March 1988,Right-handed,Right-arm fast,Amo Region
Afghanistan,2019,Gulbadin Naib (c),16 March 1991,Right-handed,Right-arm medium-fast,Mis Ainak Region
Afghanistan,2019,Hamid Hassan,1 June 1987,Right-handed,Right-arm fast,Band-e-Amir Region
Afghanistan,2019,Hashmatullah Shahidi,4 November 1994,Left-handed,Right-arm off spin,Band-e-Amir Region
Afghanistan,2019,Hazratullah Zazai,23 March 1998,Left-handed,Left-arm orthodox,Band-e-Amir Region
Afghanistan,2019,Mohammad Nabi,3 March 1985,Right-handed,Right-arm off spin,Amo Region
Afghanistan,2019,Mohammad Shahzad (wk),31 January 1988,Right-handed,Wicket-keeper,Speen Ghar Region
Afghanistan,2019,Mujeeb Ur Rahman,28 March 2001,Right-handed,Right-arm off spin,Speen Ghar Region
Afghanistan,2019,Najibullah Zadran,18 February 1993,Left-handed,Right-arm off spin,Boost Region
Afghanistan,2019,Noor Ali Zadran,10 July 1988,Right-handed,Right-arm medium-fast,Mis Ainak Region
Afghanistan,2019,Rahmat Shah,16 March 1991,Right-handed,Right-arm leg spin,Mis Ainak Region
Afghanistan,2019,Rashid Khan (vc),20 September 1998,Right-handed,Right-arm leg spin,Speen Ghar Region
Afghanistan,2019,Samiullah Shinwari,31 December 1987,Right-handed,Right-arm leg spin,Boost Region
Australia,2019,Aaron Finch (c),17 November 1986,Right-handed,Left-arm orthodox,Victoria
Australia,2019,Adam Zampa,31 March 1992,Right-handed,Right-arm leg spin,South Australia
Australia,2019,"Alex Carey (vc, wk)",27 August 1991,Left-handed,Wicket-keeper,South Australia
Australia,2019,David Warner,27 October 1986,Left-handed,Right-arm leg spin,New South Wales Blues
Australia,2019,Glenn Maxwell,14 October 1988,Right-handed,Right-arm off spin,Victoria
Australia,2019,Jason Behrendorff,20 April 1990,Right-handed,Right-arm fast-medium,Western Australia
Australia,2019,Jhye Richardson,20 September 1996,Right-handed,Right-arm fast,Western Warriors
Australia,2019,Kane Richardson,12 February 1991,Right-handed,Right-arm fast-medium,South Australia
Australia,2019,Marcus Stoinis,16 August 1989,Right-handed,Right-arm medium,Western Warriors
Australia,2019,Mitchell Starc,30 January 1990,Left-handed,Left-arm fast,New South Wales Blues
Australia,2019,Nathan Lyon,20 November 1987,Right-handed,Right-arm off spin,New South Wales Blues
Australia,2019,Nathan Mitchell Coulter-Nile,11 October 1987,Right-handed,Right-arm fast,Western Warriors
Australia,2019,Pat Cummins (vc),8 May 1993,Right-handed,Right-arm fast,New South Wales
Australia,2019,Shaun Marsh,9 July 1983,Left-handed,Left-arm orthodox,Western Warriors
Australia,2019,Steve Smith,2 June 1989,Right-handed,Right-arm leg spin,New South Wales Blues
Australia,2019,Usman Khawaja,18 December 1986,Left-handed,Right-arm off spin,Queensland Bulls
Bangladesh,2019,Abu Jayed,2 August 1993,Right-handed,Right-arm fast-medium,Prime Doleshwar
Bangladesh,2019,Litton Das,13 October 1994,Right-handed,Wicket-keeper,Mohammedan Sporting
Bangladesh,2019,Mahmudullah,4 February 1986,Right-handed,Right-arm off spin,Abahani Limited
Bangladesh,2019,Mashrafe Mortaza (c),5 October 1983,Right-handed,Right-arm medium,Abahani Limited
Bangladesh,2019,Mehidy Hasan,25 October 1996,Right-handed,Right-arm off spin,Abahani Limited
Bangladesh,2019,Mohammad Mithun,13 February 1990,Right-handed,,Abahani Limited
Bangladesh,2019,Mohammad Saifuddin,1 September 1996,Left-handed,Right-arm medium-fast,Abahani Limited
Bangladesh,2019,Mosaddek Hossain,10 December 1995,Right-handed,Right-arm off spin,Abahani Limited
Bangladesh,2019,Mushfiqur Rahim (wk),9 May 1987,Right-handed,Right-arm medium,Legends of Rupganj
Bangladesh,2019,Mustafizur Rahman,6 September 1995,Left-handed,Left-arm fast-medium,Shinepukur
Bangladesh,2019,Rubel Hossain,1 January 1990,Right-handed,Right-arm fast,Abahani Limited
Bangladesh,2019,Sabbir Rahman,22 November 1991,Right-handed,Right-arm leg spin,Abahani Limited
Bangladesh,2019,Shakib Al Hasan (vc),24 March 1987,Left-handed,Left-arm orthodox,Abahani Limited
Bangladesh,2019,Soumya Sarkar,25 February 1993,Left-handed,Right-arm medium,Abahani Limited
Bangladesh,2019,Tamim Iqbal,20 March 1989,Left-handed,Right-arm off spin,Mohammedan Sporting
England,2019,Adil Rashid,17 February 1988,Right-handed,Right-arm leg spin,Yorkshire
England,2019,Alex Hales,3 January 1989,Right-handed,Right-arm medium,Nottinghamshire
England,2019,Ben Stokes,4 June 1991,Left-handed,Right-arm fast-medium,Durham
England,2019,Chris Woakes,2 March 1989,Right-handed,Right-arm fast-medium,Warwickshire
England,2019,David Willey,28 February 1990,Left-handed,Left-arm fast-medium,Yorkshire
England,2019,Eoin Morgan (c),10 September 1986,Left-handed,Right-arm medium,Middlesex
England,2019,James Vince,14 March 1991,Right-handed,Right-arm medium,Hampshire
England,2019,Jason Roy,21 July 1990,Right-handed,,Surrey
England,2019,Joe Denly,16 March 1986,Right-handed,Right-arm leg spin,Kent
England,2019,Joe Root,30 December 1990,Right-handed,Right-arm off/leg spin,Yorkshire
England,2019,Jofra Archer,1 April 1995,Right-handed,Right-arm fast,Sussex
England,2019,Jonny Bairstow,26 September 1989,Right-handed,Wicket-keeper,Yorkshire
England,2019,"Jos Buttler (vc, wk)",8 September 1990,Right-handed,Wicket-keeper,Lancashire
England,2019,Liam Dawson,1 March 1990,Right-handed,Left-arm orthodox,Hampshire
England,2019,Liam Plunkett,6 April 1985,Right-handed,Right-arm fast,Surrey
England,2019,Mark Wood,11 January 1990,Right-handed,Right-arm fast,Durham
England,2019,Moeen Ali,18 June 1987,Left-handed,Right-arm off spin,Worcestershire
England,2019,Tom Curran,12 March 1995,Right-handed,Right-arm fast-medium,Surrey
India,2019,Bhuvneshwar Kumar,5 February 1990,Right-handed,Right-arm medium-fast,Uttar Pradesh
India,2019,Dinesh Karthik (wk),1 June 1985,Right-handed,Right-arm off spin,Tamil Nadu
India,2019,Hardik Pandya,11 October 1993,Right-handed,Right-arm medium-fast,Baroda
India,2019,Jasprit Bumrah,6 December 1993,Right-handed,Right-arm fast,Gujarat
India,2019,KL Rahul (wk),18 April 1992,Right-handed,Right-arm medium,Karnataka
India,2019,Kedar Jadhav,26 March 1985,Right-handed,Right-arm off spin,Maharashtra
India,2019,Kuldeep Yadav,14 December 1994,Left-handed,Left-arm unorthodox,Uttar Pradesh
India,2019,MS Dhoni (wk),7 July 1981,Right-handed,Right-arm medium,Jharkhand
India,2019,Mohammed Shami,3 September 1990,Right-handed,Right-arm fast,Bengal
India,2019,Ravindra Jadeja,6 December 1988,Left-handed,Left-arm orthodox,Saurashtra
India,2019,Rishabh Pant,4 October 1997,Left-handed,Right-arm medium,Delhi
India,2019,Rohit Sharma (vc),30 April 1987,Right-handed,Right-arm off spin,Mumbai
India,2019,Shikhar Dhawan,5 December 1985,Left-handed,Right-arm off spin,Delhi
India,2019,Vijay Shankar,26 January 1991,Right-handed,Right-arm medium,Tamil Nadu
India,2019,Virat Kohli (c),5 November 1988,Right-handed,Right-arm medium,Delhi
India,2019,Yuzvendra Chahal,23 July 1990,Right-handed,Right-arm leg spin,Haryana
New Zealand,2019,Colin Munro,11 March 1987,Left-handed,Right-arm medium,Auckland Aces
New Zealand,2019,Colin de Grandhomme,22 July 1986,Right-handed,Right-arm fast-medium,Northern Districts
New Zealand,2019,Henry Nicholls,15 November 1991,Left-handed,Right-arm off spin,Canterbury
New Zealand,2019,Ish Sodhi,31 October 1992,Right-handed,Right-arm leg break,Northern Districts
New Zealand,2019,James Neesham,17 September 1990,Left-handed,Right-arm medium,Wellington Firebirds
New Zealand,2019,Kane Williamson (c),8 August 1990,Right-handed,Right-arm off spin,Northern Districts
New Zealand,2019,Lockie Ferguson,13 June 1991,Right-handed,Right-arm fast,Auckland Aces
New Zealand,2019,Martin Guptill,30 September 1986,Right-handed,Right-arm off spin,Auckland Aces
New Zealand,2019,Matt Henry,14 December 1991,Right-handed,Right-arm fast-medium,Canterbury
New Zealand,2019,Mitchell Santner,5 February 1992,Left-handed,Left-arm orthodox,Northern Districts
New Zealand,2019,Ross Taylor,8 March 1984,Right-handed,Right-arm off break,Central Stags
New Zealand,2019,Tim Southee,11 December 1988,Right-handed,Right-arm medium-fast,Northern Districts
New Zealand,2019,Tom Blundell (wk),1 September 1990,Right-handed,Right-arm off break,Wellington Firebirds
New Zealand,2019,"Tom Latham (vc, wk)",2 April 1992,Left-handed,Right-arm medium,Canterbury
New Zealand,2019,Trent Boult,22 July 1989,Right-handed,Left-arm fast-medium,Northern Districts
Pakistan,2019,Abid Ali,16 October 1987,Right-handed,Right-arm leg spin,Khyber Pakhtunkhwa
Pakistan,2019,Asif Ali,1 October 1991,Right-handed,Right-arm medium-fast,Sindh
Pakistan,2019,Babar Azam (vc),15 October 1994,Right-handed,Right-arm off spin,Islamabad
Pakistan,2019,Faheem Ashraf,16 January 1994,Left-handed,Right-arm fast-medium,Faisalabad
