Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,2015,England,Ravi Bopara,4 May 1985,Right-handed,Right-arm medium,Essex
ODI World Cup,2015,England,Steven Finn,4 April 1989,Right-handed,Right-arm fast,Middlesex
ODI World Cup,2015,England,Stuart Broad,24 June 1986,Left-handed,Right-arm fast medium,Nottinghamshire
ODI World Cup,2015,India,Ajinkya Rahane,6 June 1988,Right-handed,-,Mumbai
ODI World Cup,2015,India,Ambati Rayudu,23 September 1985,Right-handed,Right-arm off break,Hyderabad
ODI World Cup,2015,India,Axar Patel,20 January 1994,Left-handed,Slow left-arm orthodox,Gujarat
ODI World Cup,2015,India,Bhuvneshwar Kumar,5 February 1990,Right-handed,Right-arm medium,Uttar Pradesh
ODI World Cup,2015,India,MS Dhoni (c),7 July 1981,Right-handed,Wicket-keeper,Jharkhand
ODI World Cup,2015,India,Mohammed Shami,3 September 1990,Right-handed,Right-arm fast medium,Bengal
ODI World Cup,2015,India,Mohit Sharma,18 January 1988,Right-handed,Right-arm medium fast,Haryana
ODI World Cup,2015,India,Ravichandran Ashwin,17 September 1986,Right-handed,Right-arm off break,Tamil Nadu
ODI World Cup,2015,India,Ravindra Jadeja,6 December 1988,Left-handed,Slow left-arm orthodox,Saurashtra
ODI World Cup,2015,India,Rohit Sharma,30 April 1987,Right-handed,Right-arm off break,Mumbai
ODI World Cup,2015,India,Shikhar Dhawan,5 December 1985,Left-handed,-,Delhi
ODI World Cup,2015,India,Stuart Binny,3 June 1984,Right-handed,Right-arm medium,Karnataka
ODI World Cup,2015,India,Suresh Raina,27 November 1986,Left-handed,Right-arm off break,Uttar Pradesh
ODI World Cup,2015,India,Umesh Yadav,25 May 1987,Right-handed,Right-arm fast,Vidarbha
ODI World Cup,2015,India,Virat Kohli,5 November 1988,Right-handed,Right-arm medium,Delhi
ODI World Cup,2015,Ireland,Alex Cusack,29 September 1980,Right-handed,Right-arm medium,-
ODI World Cup,2015,Ireland,Andrew Balbirnie,28 December 1990,Right-handed,-,-
ODI World Cup,2015,Ireland,Andrew McBrine,30 April 1993,Right-handed,Right-arm off break,-
ODI World Cup,2015,Ireland,Craig Young,4 December 1991,Right-handed,Right-arm fast medium,-
ODI World Cup,2015,Ireland,Ed Joyce,22 September 1978,Left-handed,Right-arm medium,Sussex
ODI World Cup,2015,Ireland,Gary Wilson,5 February 1986,Right-handed,Wicket-keeper,-
ODI World Cup,2015,Ireland,George Dockrell,22 July 1992,Left-handed,Slow left-arm orthodox,-
ODI World Cup,2015,Ireland,John Mooney,10 February 1982,Left-handed,Right-arm medium,-
ODI World Cup,2015,Ireland,Kevin O'Brien,4 March 1984,Right-handed,Right-arm medium fast,-
ODI World Cup,2015,Ireland,Niall O'Brien,8 November 1981,Right-handed,Wicket-keeper,-
ODI World Cup,2015,Ireland,Paul Stirling,3 September 1990,Right-handed,Right-arm off break,Middlesex
ODI World Cup,2015,Ireland,Peter Chase,25 November 1993,Right-handed,Right-arm fast medium,-
ODI World Cup,2015,Ireland,Stuart Thompson,15 March 1991,Left-handed,Right-arm medium,-
ODI World Cup,2015,Ireland,Tim Murtagh,2 August 1981,Right-handed,Right-arm fast medium,Middlesex
ODI World Cup,2015,Ireland,William Porterfield (c),6 September 1984,Left-handed,-,Warwickshire
ODI World Cup,2015,New Zealand,Adam Milne,30 April 1992,Right-handed,Right-arm fast,Central Districts
ODI World Cup,2015,New Zealand,Brendon McCullum (c),27 September 1981,Right-handed,Wicket-keeper,Otago
ODI World Cup,2015,New Zealand,Corey Anderson,13 March 1990,Left-handed,Left-arm medium,Canterbury
ODI World Cup,2015,New Zealand,Daniel Vettori,27 January 1979,Left-handed,Slow left-arm orthodox,Northern Districts
ODI World Cup,2015,New Zealand,Grant Elliott,21 March 1979,Right-handed,Right-arm medium,Wellington
ODI World Cup,2015,New Zealand,Kane Williamson,8 August 1990,Right-handed,Right-arm off break,Northern Districts
ODI World Cup,2015,New Zealand,Kyle Mills,15 March 1979,Right-handed,Right-arm fast medium,Auckland
ODI World Cup,2015,New Zealand,Luke Ronchi,23 September 1981,Right-handed,Wicket-keeper,Wellington
ODI World Cup,2015,New Zealand,Martin Guptill,30 September 1986,Right-handed,Right-arm medium,Auckland
ODI World Cup,2015,New Zealand,Matt Henry,14 December 1991,Right-handed,Right-arm fast medium,Canterbury
ODI World Cup,2015,New Zealand,Mitchell McClenaghan,11 August 1986,Left-handed,Left-arm fast medium,Auckland
ODI World Cup,2015,New Zealand,Nathan McCullum,12 September 1980,Right-handed,Right-arm off break,Otago
ODI World Cup,2015,New Zealand,Ross Taylor,8 March 1984,Right-handed,Right-arm off break,Central Districts
ODI World Cup,2015,New Zealand,Tom Latham,2 April 1992,Left-handed,Wicket-keeper,Canterbury
ODI World Cup,2015,New Zealand,Trent Boult,22 July 1989,Right-handed,Left-arm fast medium,Northern Districts
ODI World Cup,2015,Pakistan,Ahmed Shehzad,23 October 1991,Right-handed,Right-arm off break,Lahore
ODI World Cup,2015,Pakistan,Ehsan Adil,6 April 1993,Right-handed,Right-arm fast medium,Lahore
ODI World Cup,2015,Pakistan,Haris Sohail,9 April 1989,Left-handed,Slow left-arm orthodox,Sialkot
ODI World Cup,2015,Pakistan,Misbah-ul-Haq (c),28 May 1974,Right-handed,Right-arm leg break,Sui Northern Gas
ODI World Cup,2015,Pakistan,Mohammad Irfan,6 June 1982,Left-handed,Left-arm fast medium,Khan Research Labs
ODI World Cup,2015,Pakistan,Nasir Jamshed,6 September 1990,Left-handed,-,Sialkot
ODI World Cup,2015,Pakistan,Rahat Ali,25 December 1988,Right-handed,Left-arm fast medium,Multan
ODI World Cup,2015,Pakistan,Sarfaraz Ahmed,22 May 1987,Right-handed,Wicket-keeper,Karachi
ODI World Cup,2015,Pakistan,Shahid Afridi,1 March 1980,Right-handed,Right-arm leg break,Karachi
ODI World Cup,2015,Pakistan,Sohaib Maqsood,8 November 1988,Right-handed,Right-arm off break,Multan
ODI World Cup,2015,Pakistan,Sohail Khan,11 December 1984,Right-handed,Right-arm fast medium,Karachi
ODI World Cup,2015,Pakistan,Umar Akmal,26 May 1990,Right-handed,Wicket-keeper,Lahore
ODI World Cup,2015,Pakistan,Wahab Riaz,28 June 1985,Left-handed,Left-arm fast,Lahore
ODI World Cup,2015,Pakistan,Yasir Shah,2 May 1986,Right-handed,Right-arm leg break,Islamabad
ODI World Cup,2015,Pakistan,Younis Khan,29 November 1977,Right-handed,Right-arm leg break,Peshawar
ODI World Cup,2015,Scotland,Alasdair Evans,8 January 1990,Right-handed,Right-arm medium,-
ODI World Cup,2015,Scotland,Calum MacLeod,15 November 1988,Right-handed,Right-arm medium,-
ODI World Cup,2015,Scotland,Freddie Coleman,27 November 1990,Right-handed,Wicket-keeper,-
ODI World Cup,2015,Scotland,Hamish Gardiner,12 March 1993,Right-handed,-,-
ODI World Cup,2015,Scotland,Iain Wardlaw,23 March 1988,Right-handed,Right-arm fast medium,-
ODI World Cup,2015,Scotland,Josh Davey,3 July 1990,Right-handed,Right-arm medium fast,-
ODI World Cup,2015,Scotland,Kyle Coetzer,14 April 1984,Right-handed,Right-arm medium,-
ODI World Cup,2015,Scotland,Majid Haq,11 February 1983,Left-handed,Right-arm off break,-
ODI World Cup,2015,Scotland,Matt Machan,15 February 1991,Right-handed,Right-arm off break,-
ODI World Cup,2015,Scotland,Matthew Cross,15 November 1992,Right-handed,Wicket-keeper,-
ODI World Cup,2015,Scotland,Michael Leask,12 July 1993,Right-handed,Right-arm medium,-
ODI World Cup,2015,Scotland,Preston Mommsen (c),14 May 1988,Right-handed,Right-arm off break,-
ODI World Cup,2015,Scotland,Richie Berrington,3 September 1989,Right-handed,Right-arm medium,-
ODI World Cup,2015,Scotland,Rob Taylor,8 November 1983,Right-handed,Right-arm medium,-
ODI World Cup,2015,Scotland,Safyaan Sharif,22 April 1991,Right-handed,Right-arm medium fast,-
ODI World Cup,2015,South Africa,AB de Villiers (c),17 February 1984,Right-handed,Wicket-keeper,Titans
ODI World Cup,2015,South Africa,Aaron Phangiso,3 February 1988,Left-handed,Slow left-arm orthodox,Lions
ODI World Cup,2015,South Africa,Dale Steyn,27 June 1983,Right-handed,Right-arm fast,Titans
ODI World Cup,2015,South Africa,David Miller,10 June 1989,Left-handed,-,Dolphins
ODI World Cup,2015,South Africa,Faf du Plessis,13 July 1984,Right-handed,Right-arm leg break,Titans
ODI World Cup,2015,South Africa,Farhaan Behardien,9 June 1983,Right-handed,Right-arm medium,Titans
ODI World Cup,2015,South Africa,Hashim Amla,31 March 1983,Right-handed,Right-arm leg break,Dolphins
ODI World Cup,2015,South Africa,Imran Tahir,27 March 1979,Right-handed,Right-arm leg break,Titans
ODI World Cup,2015,South Africa,JP Duminy,14 April 1984,Left-handed,Right-arm off break,Cape Cobras
ODI World Cup,2015,South Africa,Kyle Abbott,18 June 1987,Right-handed,Right-arm fast medium,Dolphins
ODI World Cup,2015,South Africa,Morne Morkel,6 October 1984,Right-handed,Right-arm fast,Titans
ODI World Cup,2015,South Africa,Quinton de Kock,17 December 1992,Left-handed,Wicket-keeper,Titans
ODI World Cup,2015,South Africa,Rilee Rossouw,9 August 1989,Left-handed,-,Knights
ODI World Cup,2015,South Africa,Vernon Philander,24 June 1985,Right-handed,Right-arm fast medium,Cape Cobras
ODI World Cup,2015,South Africa,Wayne Parnell,30 July 1989,Left-handed,Left-arm fast medium,Warriors
ODI World Cup,2015,Sri Lanka,Angelo Mathews (c),2 June 1987,Right-handed,Right-arm fast medium,Colombo CC
ODI World Cup,2015,Sri Lanka,Dhammika Prasad,9 May 1982,Right-handed,Right-arm fast medium,Colts CC
ODI World Cup,2015,Sri Lanka,Dimuth Karunaratne,21 April 1988,Left-handed,Right-arm off break,Sinhalese SC
ODI World Cup,2015,Sri Lanka,Dinesh Chandimal,18 November 1989,Right-handed,Wicket-keeper,Bloomfield
ODI World Cup,2015,Sri Lanka,Jeevan Mendis,15 March 1981,Right-handed,Right-arm leg break,Colombo CC
ODI World Cup,2015,Sri Lanka,Kumar Sangakkara,27 October 1977,Left-handed,Wicket-keeper,Nondescripts
ODI World Cup,2015,Sri Lanka,Lahiru Thirimanne,8 September 1989,Left-handed,-,Nondescripts
ODI World Cup,2015,Sri Lanka,Lasith Malinga,4 September 1983,Right-handed,Right-arm fast,Nondescripts
ODI World Cup,2015,Sri Lanka,Mahela Jayawardene,27 May 1977,Right-handed,Right-arm medium,Sinhalese SC
ODI World Cup,2015,Sri Lanka,Nuwan Kulasekara,22 July 1982,Right-handed,Right-arm fast medium,Colts CC
ODI World Cup,2015,Sri Lanka,Rangana Herath,19 March 1978,Left-handed,Slow left-arm orthodox,Kurunegala
ODI World Cup,2015,Sri Lanka,Sachithra Senanayake,4 March 1983,Right-handed,Right-arm off break,Colombo CC
ODI World Cup,2015,Sri Lanka,Suranga Lakmal,10 March 1987,Right-handed,Right-arm fast medium,Tamil Union
ODI World Cup,2015,Sri Lanka,Thisara Perera,3 April 1989,Left-handed,Left-arm fast medium,Bloomfield
ODI World Cup,2015,Sri Lanka,Tillakaratne Dilshan,14 October 1976,Right-handed,Right-arm off break,Bloomfield
ODI World Cup,2015,United Arab Emirates,Amjad Ali,15 August 1984,Left-handed,Left-arm medium,-
ODI World Cup,2015,United Arab Emirates,Amjad Javed,19 January 1986,Right-handed,Right-arm medium fast,-
ODI World Cup,2015,United Arab Emirates,Andri Berenger,8 August 1985,Right-handed,Right-arm medium,-
ODI World Cup,2015,United Arab Emirates,Fahad Al Hashmi,19 August 1988,Right-handed,Right-arm medium,-
ODI World Cup,2015,United Arab Emirates,Kamran Shazad,10 October 1990,Right-handed,Right-arm medium,-
ODI World Cup,2015,United Arab Emirates,Khurram Khan (vc),14 December 1971,Left-handed,Slow left-arm orthodox,-
ODI World Cup,2015,United Arab Emirates,Krishna Chandran,12 June 1982,Right-handed,Right-arm off break,-
ODI World Cup,2015,United Arab Emirates,Manjula Guruge,21 May 1975,Left-handed,Left-arm medium,-
ODI World Cup,2015,United Arab Emirates,Mohammad Naveed,5 November 1985,Right-handed,Right-arm fast medium,-
ODI World Cup,2015,United Arab Emirates,Mohammad Tauqir (c),14 January 1972,Right-handed,Right-arm off break,-
ODI World Cup,2015,United Arab Emirates,Nasir Aziz,3 July 1990,Right-handed,Right-arm medium,-
ODI World Cup,2015,United Arab Emirates,Qadeer Ahmed,20 March 1985,Right-handed,Right-arm fast medium,-
ODI World Cup,2015,United Arab Emirates,Rohan Mustafa,19 October 1990,Right-handed,Right-arm off break,-
ODI World Cup,2015,United Arab Emirates,Shaiman Anwar,4 May 1980,Right-handed,Right-arm off break,-
ODI World Cup,2015,United Arab Emirates,Swapnil Patil,4 October 1985,Right-handed,Wicket-keeper,-
ODI World Cup,2015,West Indies,Andre Russell,29 April 1988,Right-handed,Right-arm fast medium,Jamaica
ODI World Cup,2015,West Indies,Chris Gayle,21 September 1979,Left-handed,Right-arm off break,Jamaica
ODI World Cup,2015,West Indies,Darren Bravo,6 February 1989,Left-handed,-,Trinidad and Tobago
ODI World Cup,2015,West Indies,Darren Sammy,20 December 1983,Right-handed,Right-arm fast medium,Windward Islands
ODI World Cup,2015,West Indies,Denesh Ramdin,13 March 1985,Right-handed,Wicket-keeper,Trinidad and Tobago
ODI World Cup,2015,West Indies,Dwayne Smith,12 April 1983,Right-handed,Right-arm medium,Barbados
ODI World Cup,2015,West Indies,Jason Holder (c),5 November 1991,Right-handed,Right-arm fast medium,Barbados
ODI World Cup,2015,West Indies,Jerome Taylor,22 June 1984,Right-handed,Right-arm fast,Jamaica
ODI World Cup,2015,West Indies,Johnson Charles,14 April 1990,Right-handed,-,Windward Islands
ODI World Cup,2015,West Indies,Jonathan Carter,13 June 1990,Right-handed,Right-arm off break,Barbados
ODI World Cup,2015,West Indies,Kemar Roach,30 June 1988,Right-handed,Right-arm fast,Barbados
ODI World Cup,2015,West Indies,Lendl Simmons,24 January 1985,Right-handed,Right-arm medium fast,Trinidad and Tobago
ODI World Cup,2015,West Indies,Marlon Samuels,5 January 1981,Right-handed,Right-arm off break,Jamaica
ODI World Cup,2015,West Indies,Nikita Miller,8 July 1983,Right-handed,Slow left-arm orthodox,Jamaica
ODI World Cup,2015,West Indies,Sulieman Benn,22 June 1979,Left-handed,Slow left-arm orthodox,Barbados
ODI World Cup,2015,Zimbabwe,Brendan Taylor,6 February 1986,Right-handed,Wicket-keeper,Mashonaland
ODI World Cup,2015,Zimbabwe,Chris Mpofu,27 November 1985,Right-handed,Right-arm fast medium,Matabeleland
ODI World Cup,2015,Zimbabwe,Craig Ervine,19 August 1985,Left-handed,-,Manicaland
ODI World Cup,2015,Zimbabwe,Elton Chigumbura (c),14 March 1986,Right-handed,Right-arm medium fast,Manicaland
ODI World Cup,2015,Zimbabwe,Graeme Cremer,19 July 1986,Right-handed,Right-arm leg break,Mashonaland
ODI World Cup,2015,Zimbabwe,Hamilton Masakadza,9 August 1983,Right-handed,Right-arm off break,Mashonaland
ODI World Cup,2015,Zimbabwe,Malcolm Waller,28 September 1987,Right-handed,Right-arm leg break,Mashonaland
ODI World Cup,2015,Zimbabwe,Neville Madziva,2 July 1990,Right-handed,Right-arm medium fast,Mashonaland
ODI World Cup,2015,Zimbabwe,Regis Chakabva,8 August 1987,Right-handed,Wicket-keeper,Mashonaland
ODI World Cup,2015,Zimbabwe,Sean Williams,26 September 1986,Left-handed,Slow left-arm orthodox,Matabeleland
ODI World Cup,2015,Zimbabwe,Sikandar Raza,24 May 1986,Right-handed,Right-arm off break,Mashonaland
ODI World Cup,2015,Zimbabwe,Solomon Mire,27 February 1989,Right-handed,Right-arm medium,Mashonaland
ODI World Cup,2015,Zimbabwe,Tawanda Mupariwa,16 April 1985,Right-handed,Right-arm fast medium,Matabeleland
ODI World Cup,2015,Zimbabwe,Tendai Chatara,6 August 1991,Right-handed,Left-arm fast medium,Mashonaland
ODI World Cup,2015,Zimbabwe,Tinashe Panyangara,20 November 1985,Right-handed,Right-arm fast medium,Mashonaland
ODI World Cup,2019,Afghanistan,Aftab Alam,30 November 1992,Right-handed,Right-arm medium-fast,Speen Ghar Region
ODI World Cup,2019,Afghanistan,Asghar Afghan,22 February 1987,Right-handed,Right-arm off spin,Kabul Region
ODI World Cup,2019,Afghanistan,Dawlat Zadran,19 March 1988,Right-handed,Right-arm fast,Amo Region
ODI World Cup,2019,Afghanistan,Gulbadin Naib (c),16 March 1991,Right-handed,Right-arm medium-fast,Mis Ainak Region
ODI World Cup,2019,Afghanistan,Hamid Hassan,1 June 1987,Right-handed,Right-arm fast,Band-e-Amir Region
ODI World Cup,2019,Afghanistan,Hashmatullah Shahidi,4 November 1994,Left-handed,Right-arm off spin,Band-e-Amir Region
ODI World Cup,2019,Afghanistan,Hazratullah Zazai,23 March 1998,Left-handed,Left-arm orthodox,Band-e-Amir Region
ODI World Cup,2019,Afghanistan,Mohammad Nabi,3 March 1985,Right-handed,Right-arm off spin,Amo Region
ODI World Cup,2019,Afghanistan,Mohammad Shahzad (wk),31 January 1988,Right-handed,Wicket-keeper,Speen Ghar Region
ODI World Cup,2019,Afghanistan,Mujeeb Ur Rahman,28 March 2001,Right-handed,Right-arm off spin,Speen Ghar Region
ODI World Cup,2019,Afghanistan,Najibullah Zadran,18 February 1993,Left-handed,Right-arm off spin,Boost Region
ODI World Cup,2019,Afghanistan,Noor Ali Zadran,10 July 1988,Right-handed,Right-arm medium-fast,Mis Ainak Region
ODI World Cup,2019,Afghanistan,Rahmat Shah,16 March 1991,Right-handed,Right-arm leg spin,Mis Ainak Region
ODI World Cup,2019,Afghanistan,Rashid Khan (vc),20 September 1998,Right-handed,Right-arm leg spin,Speen Ghar Region
ODI World Cup,2019,Afghanistan,Samiullah Shinwari,31 December 1987,Right-handed,Right-arm leg spin,Boost Region
ODI World Cup,2019,Australia,Aaron Finch (c),17 November 1986,Right-handed,Left-arm orthodox,Victoria
ODI World Cup,2019,Australia,Adam Zampa,31 March 1992,Right-handed,Right-arm leg spin,South Australia
ODI World Cup,2019,Australia,"Alex Carey (vc, wk)",27 August 1991,Left-handed,Wicket-keeper,South Australia
ODI World Cup,2019,Australia,David Warner,27 October 1986,Left-handed,Right-arm leg spin,New South Wales Blues
ODI World Cup,2019,Australia,Glenn Maxwell,14 October 1988,Right-handed,Right-arm off spin,Victoria
ODI World Cup,2019,Australia,Jason Behrendorff,20 April 1990,Right-handed,Right-arm fast-medium,Western Australia
ODI World Cup,2019,Australia,Jhye Richardson,20 September 1996,Right-handed,Right-arm fast,Western Warriors
ODI World Cup,2019,Australia,Kane Richardson,12 February 1991,Right-handed,Right-arm fast-medium,South Australia
ODI World Cup,2019,Australia,Marcus Stoinis,16 August 1989,Right-handed,Right-arm medium,Western Warriors
ODI World Cup,2019,Australia,Mitchell Starc,30 January 1990,Left-handed,Left-arm fast,New South Wales Blues
ODI World Cup,2019,Australia,Nathan Lyon,20 November 1987,Right-handed,Right-arm off spin,New South Wales Blues
ODI World Cup,2019,Australia,Nathan Mitchell Coulter-Nile,11 October 1987,Right-handed,Right-arm fast,Western Warriors
ODI World Cup,2019,Australia,Pat Cummins (vc),8 May 1993,Right-handed,Right-arm fast,New South Wales
ODI World Cup,2019,Australia,Shaun Marsh,9 July 1983,Left-handed,Left-arm orthodox,Western Warriors
ODI World Cup,2019,Australia,Steve Smith,2 June 1989,Right-handed,Right-arm leg spin,New South Wales Blues
ODI World Cup,2019,Australia,Usman Khawaja,18 December 1986,Left-handed,Right-arm off spin,Queensland Bulls
ODI World Cup,2019,Bangladesh,Abu Jayed,2 August 1993,Right-handed,Right-arm fast-medium,Prime Doleshwar
ODI World Cup,2019,Bangladesh,Litton Das,13 October 1994,Right-handed,Wicket-keeper,Mohammedan Sporting
ODI World Cup,2019,Bangladesh,Mahmudullah,4 February 1986,Right-handed,Right-arm off spin,Abahani Limited
ODI World Cup,2019,Bangladesh,Mashrafe Mortaza (c),5 October 1983,Right-handed,Right-arm medium,Abahani Limited
ODI World Cup,2019,Bangladesh,Mehidy Hasan,25 October 1996,Right-handed,Right-arm off spin,Abahani Limited
ODI World Cup,2019,Bangladesh,Mohammad Mithun,13 February 1990,Right-handed,-,Abahani Limited
ODI World Cup,2019,Bangladesh,Mohammad Saifuddin,1 September 1996,Left-handed,Right-arm medium-fast,Abahani Limited
ODI World Cup,2019,Bangladesh,Mosaddek Hossain,10 December 1995,Right-handed,Right-arm off spin,Abahani Limited
ODI World Cup,2019,Bangladesh,Mushfiqur Rahim (wk),9 May 1987,Right-handed,Right-arm medium,Legends of Rupganj
ODI World Cup,2019,Bangladesh,Mustafizur Rahman,6 September 1995,Left-handed,Left-arm fast-medium,Shinepukur
ODI World Cup,2019,Bangladesh,Rubel Hossain,1 January 1990,Right-handed,Right-arm fast,Abahani Limited
ODI World Cup,2019,Bangladesh,Sabbir Rahman,22 November 1991,Right-handed,Right-arm leg spin,Abahani Limited
ODI World Cup,2019,Bangladesh,Shakib Al Hasan (vc),24 March 1987,Left-handed,Left-arm orthodox,Abahani Limited
ODI World Cup,2019,Bangladesh,Soumya Sarkar,25 February 1993,Left-handed,Right-arm medium,Abahani Limited
ODI World Cup,2019,Bangladesh,Tamim Iqbal,20 March 1989,Left-handed,Right-arm off spin,Mohammedan Sporting
ODI World Cup,2019,England,Adil Rashid,17 February 1988,Right-handed,Right-arm leg spin,Yorkshire
ODI World Cup,2019,England,Alex Hales,3 January 1989,Right-handed,Right-arm medium,Nottinghamshire
ODI World Cup,2019,England,Ben Stokes,4 June 1991,Left-handed,Right-arm fast-medium,Durham
ODI World Cup,2019,England,Chris Woakes,2 March 1989,Right-handed,Right-arm fast-medium,Warwickshire
ODI World Cup,2019,England,David Willey,28 February 1990,Left-handed,Left-arm fast-medium,Yorkshire
ODI World Cup,2019,England,Eoin Morgan (c),10 September 1986,Left-handed,Right-arm medium,Middlesex
ODI World Cup,2019,England,James Vince,14 March 1991,Right-handed,Right-arm medium,Hampshire
ODI World Cup,2019,England,Jason Roy,21 July 1990,Right-handed,-,Surrey
ODI World Cup,2019,England,Joe Denly,16 March 1986,Right-handed,Right-arm leg spin,Kent
ODI World Cup,2019,England,Joe Root,30 December 1990,Right-handed,Right-arm off/leg spin,Yorkshire
ODI World Cup,2019,England,Jofra Archer,1 April 1995,Right-handed,Right-arm fast,Sussex
ODI World Cup,2019,England,Jonny Bairstow,26 September 1989,Right-handed,Wicket-keeper,Yorkshire
ODI World Cup,2019,England,"Jos Buttler (vc, wk)",8 September 1990,Right-handed,Wicket-keeper,Lancashire
ODI World Cup,2019,England,Liam Dawson,1 March 1990,Right-handed,Left-arm orthodox,Hampshire
ODI World Cup,2019,England,Liam Plunkett,6 April 1985,Right-handed,Right-arm fast,Surrey
ODI World Cup,2019,England,Mark Wood,11 January 1990,Right-handed,Right-arm fast,Durham
ODI World Cup,2019,England,Moeen Ali,18 June 1987,Left-handed,Right-arm off spin,Worcestershire
ODI World Cup,2019,England,Tom Curran,12 March 1995,Right-handed,Right-arm fast-medium,Surrey
ODI World Cup,2019,India,Bhuvneshwar Kumar,5 February 1990,Right-handed,Right-arm medium-fast,Uttar Pradesh
ODI World Cup,2019,India,Dinesh Karthik (wk),1 June 1985,Right-handed,Right-arm off spin,Tamil Nadu
ODI World Cup,2019,India,Hardik Pandya,11 October 1993,Right-handed,Right-arm medium-fast,Baroda
ODI World Cup,2019,India,Jasprit Bumrah,6 December 1993,Right-handed,Right-arm fast,Gujarat
ODI World Cup,2019,India,KL Rahul (wk),18 April 1992,Right-handed,Right-arm medium,Karnataka
ODI World Cup,2019,India,Kedar Jadhav,26 March 1985,Right-handed,Right-arm off spin,Maharashtra
ODI World Cup,2019,India,Kuldeep Yadav,14 December 1994,Left-handed,Left-arm unorthodox,Uttar Pradesh
ODI World Cup,2019,India,MS Dhoni (wk),7 July 1981,Right-handed,Right-arm medium,Jharkhand
ODI World Cup,2019,India,Mohammed Shami,3 September 1990,Right-handed,Right-arm fast,Bengal
ODI World Cup,2019,India,Ravindra Jadeja,6 December 1988,Left-handed,Left-arm orthodox,Saurashtra
ODI World Cup,2019,India,Rishabh Pant,4 October 1997,Left-handed,Right-arm medium,Delhi
ODI World Cup,2019,India,Rohit Sharma (vc),30 April 1987,Right-handed,Right-arm off spin,Mumbai
ODI World Cup,2019,India,Shikhar Dhawan,5 December 1985,Left-handed,Right-arm off spin,Delhi
ODI World Cup,2019,India,Vijay Shankar,26 January 1991,Right-handed,Right-arm medium,Tamil Nadu
ODI World Cup,2019,India,Virat Kohli (c),5 November 1988,Right-handed,Right-arm medium,Delhi
ODI World Cup,2019,India,Yuzvendra Chahal,23 July 1990,Right-handed,Right-arm leg spin,Haryana
ODI World Cup,2019,New Zealand,Colin Munro,11 March 1987,Left-handed,Right-arm medium,Auckland Aces
ODI World Cup,2019,New Zealand,Colin de Grandhomme,22 July 1986,Right-handed,Right-arm fast-medium,Northern Districts
ODI World Cup,2019,New Zealand,Henry Nicholls,15 November 1991,Left-handed,Right-arm off spin,Canterbury
ODI World Cup,2019,New Zealand,Ish Sodhi,31 October 1992,Right-handed,Right-arm leg break,Northern Districts
ODI World Cup,2019,New Zealand,James Neesham,17 September 1990,Left-handed,Right-arm medium,Wellington Firebirds
ODI World Cup,2019,New Zealand,Kane Williamson (c),8 August 1990,Right-handed,Right-arm off spin,Northern Districts
ODI World Cup,2019,New Zealand,Lockie Ferguson,13 June 1991,Right-handed,Right-arm fast,Auckland Aces
ODI World Cup,2019,New Zealand,Martin Guptill,30 September 1986,Right-handed,Right-arm off spin,Auckland Aces
ODI World Cup,2019,New Zealand,Matt Henry,14 December 1991,Right-handed,Right-arm fast-medium,Canterbury
ODI World Cup,2019,New Zealand,Mitchell Santner,5 February 1992,Left-handed,Left-arm orthodox,Northern Districts
ODI World Cup,2019,New Zealand,Ross Taylor,8 March 1984,Right-handed,Right-arm off break,Central Stags
ODI World Cup,2019,New Zealand,Tim Southee,11 December 1988,Right-handed,Right-arm medium-fast,Northern Districts
ODI World Cup,2019,New Zealand,Tom Blundell (wk),1 September 1990,Right-handed,Right-arm off break,Wellington Firebirds
ODI World Cup,2019,New Zealand,"Tom Latham (vc, wk)",2 April 1992,Left-handed,Right-arm medium,Canterbury
ODI World Cup,2019,New Zealand,Trent Boult,22 July 1989,Right-handed,Left-arm fast-medium,Northern Districts
ODI World Cup,2019,Pakistan,Abid Ali,16 October 1987,Right-handed,Right-arm leg spin,Khyber Pakhtunkhwa
ODI World Cup,2019,Pakistan,Asif Ali,1 October 1991,Right-handed,Right-arm medium-fast,Sindh
ODI World Cup,2019,Pakistan,Babar Azam (vc),15 October 1994,Right-handed,Right-arm off spin,Islamabad
ODI World Cup,2019,Pakistan,Faheem Ashraf,16 January 1994,Left-handed,Right-arm fast-medium,Faisalabad
ODI World Cup,2019,Pakistan,Fakhar Zaman,10 April 1990,Left-handed,Left-arm orthodox,Federally Administered Tribal Areas
ODI World Cup,2019,Pakistan,Haris Sohail,15 October 1989,Left-handed,Left-arm orthodox,Federal Areas
ODI World Cup,2019,Pakistan,Hasan Ali,7 February 1994,Right-handed,Right-arm fast medium,Islamabad
ODI World Cup,2019,Pakistan,Imad Wasim,18 December 1988,Left-handed,Left-arm orthodox,Islamabad
ODI World Cup,2019,Pakistan,Imam-ul-Haq,12 December 1995,Left-handed,Right-arm leg spin,Habib Bank
ODI World Cup,2019,Pakistan,Junaid Khan,24 December 1989,Right-handed,Left-arm fast,Sindh
ODI World Cup,2019,Pakistan,Mohammad Amir,13 April 1992,Left-handed,Left-arm fast,Sui Southern Gas Company
ODI World Cup,2019,Pakistan,Mohammad Hafeez,17 October 1980,Right-handed,Right-arm off spin,Sui Northern Gas Pipelines
